Date,Time(seconds),Detector Id,Flow(Q) veh/hr,Occupancy
10/26/2015,180,K3D20,80,0.008888889
10/26/2015,360,K3D20,180,0.02388889
10/26/2015,540,K3D20,80,0.007777778
10/26/2015,720,K3D20,60,0.005555556
10/26/2015,900,K3D20,80,0.008333334
10/26/2015,1080,K3D20,160,0.018333333
10/26/2015,1260,K3D20,200,0.021666666
10/26/2015,1440,K3D20,160,0.016666668
10/26/2015,1620,K3D20,100,0.011111111
10/26/2015,1800,K3D20,100,0.011111111
10/26/2015,1980,K3D20,120,0.018333333
10/26/2015,2160,K3D20,80,0.015555556
10/26/2015,2340,K3D20,80,0.009444444
10/26/2015,2520,K3D20,100,0.010555555
10/26/2015,2700,K3D20,180,0.02111111
10/26/2015,2880,K3D20,100,0.010555555
10/26/2015,3060,K3D20,60,0.007222222
10/26/2015,3240,K3D20,60,0.007222222
10/26/2015,3420,K3D20,40,0.006111111
10/26/2015,3600,K3D20,60,0.005555556
10/26/2015,3780,K3D20,80,0.010555555
10/26/2015,3960,K3D20,160,0.018333333
10/26/2015,4140,K3D20,40,0.005555556
10/26/2015,4320,K3D20,100,0.012777777
10/26/2015,4500,K3D20,40,0.004444445
10/26/2015,4680,K3D20,120,0.015555556
10/26/2015,4860,K3D20,140,0.015555556
10/26/2015,5040,K3D20,60,0.007222222
10/26/2015,5220,K3D20,40,0.005
10/26/2015,5400,K3D20,40,0.003888889
10/26/2015,5580,K3D20,40,0.004444445
10/26/2015,5760,K3D20,80,0.017777778
10/26/2015,5940,K3D20,60,0.006666667
10/26/2015,6120,K3D20,40,0.005
10/26/2015,6300,K3D20,20,0.002222222
10/26/2015,6480,K3D20,100,0.014444444
10/26/2015,6660,K3D20,80,0.009444444
10/26/2015,6840,K3D20,80,0.009444444
10/26/2015,7020,K3D20,20,0.004444445
10/26/2015,7200,K3D20,160,0.021666666
10/26/2015,7380,K3D20,60,0.006111111
10/26/2015,7560,K3D20,160,0.017222222
10/26/2015,7740,K3D20,20,0.004444445
10/26/2015,7920,K3D20,20,0.002777778
10/26/2015,8100,K3D20,80,0.014444444
10/26/2015,8280,K3D20,40,0.005
10/26/2015,8460,K3D20,140,0.025
10/26/2015,8640,K3D20,60,0.008333334
10/26/2015,8820,K3D20,60,0.006111111
10/26/2015,9000,K3D20,140,0.017777778
10/26/2015,9180,K3D20,60,0.008333334
10/26/2015,9360,K3D20,40,0.005555556
10/26/2015,9540,K3D20,0,0
10/26/2015,9720,K3D20,20,0.002222222
10/26/2015,9900,K3D20,20,0.003888889
10/26/2015,10080,K3D20,40,0.003888889
10/26/2015,10260,K3D20,100,0.011111111
10/26/2015,10440,K3D20,80,0.009444444
10/26/2015,10620,K3D20,60,0.007777778
10/26/2015,10800,K3D20,80,0.016666668
10/26/2015,10980,K3D20,80,0.011111111
10/26/2015,11160,K3D20,40,0.006111111
10/26/2015,11340,K3D20,40,0.005555556
10/26/2015,11520,K3D20,40,0.005
10/26/2015,11700,K3D20,0,0
10/26/2015,11880,K3D20,40,0.005
10/26/2015,12060,K3D20,0,0
10/26/2015,12240,K3D20,60,0.008333334
10/26/2015,12420,K3D20,0,0
10/26/2015,12600,K3D20,40,0.006111111
10/26/2015,12780,K3D20,60,0.008333334
10/26/2015,12960,K3D20,100,0.015
10/26/2015,13140,K3D20,40,0.005555556
10/26/2015,13320,K3D20,40,0.003888889
10/26/2015,13500,K3D20,120,0.012222222
10/26/2015,13680,K3D20,60,0.006666667
10/26/2015,13860,K3D20,40,0.006111111
10/26/2015,14040,K3D20,80,0.013333334
10/26/2015,14220,K3D20,220,0.020555556
10/26/2015,14400,K3D20,100,0.011666667
10/26/2015,14580,K3D20,120,0.02
10/26/2015,14760,K3D20,80,0.013888889
10/26/2015,14940,K3D20,120,0.018888889
10/26/2015,15120,K3D20,60,0.005555556
10/26/2015,15300,K3D20,80,0.01
10/26/2015,15480,K3D20,60,0.008333334
10/26/2015,15660,K3D20,60,0.005555556
10/26/2015,15840,K3D20,80,0.01
10/26/2015,16020,K3D20,180,0.026111111
10/26/2015,16200,K3D20,100,0.009444444
10/26/2015,16380,K3D20,60,0.005
10/26/2015,16560,K3D20,160,0.017777778
10/26/2015,16740,K3D20,140,0.020555556
10/26/2015,16920,K3D20,80,0.011666667
10/26/2015,17100,K3D20,220,0.025
10/26/2015,17280,K3D20,140,0.015555556
10/26/2015,17460,K3D20,160,0.020555556
10/26/2015,17640,K3D20,80,0.007222222
10/26/2015,17820,K3D20,120,0.019444445
10/26/2015,18000,K3D20,240,0.034444444
10/26/2015,18180,K3D20,140,0.02111111
10/26/2015,18360,K3D20,200,0.022222223
10/26/2015,18540,K3D20,200,0.023333333
10/26/2015,18720,K3D20,220,0.028333334
10/26/2015,18900,K3D20,220,0.028888889
10/26/2015,19080,K3D20,120,0.02
10/26/2015,19260,K3D20,140,0.016666668
10/26/2015,19440,K3D20,180,0.025555555
10/26/2015,19620,K3D20,260,0.037777778
10/26/2015,19800,K3D20,240,0.023333333
10/26/2015,19980,K3D20,200,0.023333333
10/26/2015,20160,K3D20,280,0.033333335
10/26/2015,20340,K3D20,120,0.012777777
10/26/2015,20520,K3D20,420,0.068333335
10/26/2015,20700,K3D20,200,0.021666666
10/26/2015,20880,K3D20,300,0.032777779
10/26/2015,21060,K3D20,300,0.035555556
10/26/2015,21240,K3D20,320,0.029999999
10/26/2015,21420,K3D20,340,0.043333333
10/26/2015,21600,K3D20,360,0.050000001
10/26/2015,21780,K3D20,380,0.045555554
10/26/2015,21960,K3D20,480,0.057222221
10/26/2015,22140,K3D20,540,0.068888888
10/26/2015,22320,K3D20,680,0.088333331
10/26/2015,22500,K3D20,740,0.097222224
10/26/2015,22680,K3D20,640,0.12444445
10/26/2015,22860,K3D20,580,0.076666668
10/26/2015,23040,K3D20,480,0.06666667
10/26/2015,23220,K3D20,660,0.093333334
10/26/2015,23400,K3D20,660,0.11277778
10/26/2015,23580,K3D20,660,0.094999999
10/26/2015,23760,K3D20,760,0.11611111
10/26/2015,23940,K3D20,760,0.096666664
10/26/2015,24120,K3D20,600,0.075000003
10/26/2015,24300,K3D20,740,0.10222222
